year;province_name;regency_name;poverty_amount;poverty_percentage;unemployed_percentage;uneducated_percentage
2023;Jawa Tengah;Klaten;144430;12,28;43,89;65,04
2023;Jawa Tengah;Sukoharjo;68790;7,58;45,41;62,08
2023;Jawa Tengah;Wonogiri;104820;10,94;26,28;79,14
2023;Jawa Tengah;Karanganyar;88640;9,79;39,87;68,54
2023;Jawa Tengah;Sragen;114620;12,87;42,58;67,11
2023;Jawa Tengah;Grobogan;162520;11,72;28,32;78,77
2023;Jawa Tengah;Blora;99610;11,49;24,69;75,99
2023;Jawa Tengah;Rembang;91970;14,17;42,15;76,1
2023;Jawa Tengah;Pati;118180;9,31;42,45;80,7
2023;Jawa Tengah;Kudus;65160;7,24;49,32;68,21
2023;Jawa Tengah;Jepara;86750;6,61;42,41;82,58
2023;Jawa Tengah;Demak;143260;12,01;47,12;69,89
2023;Jawa Tengah;Semarang;78350;7,17;36,66;83,63
2023;Jawa Tengah;Temanggung;72960;9,26;37,33;89,79
2023;Jawa Tengah;Kendal;92640;9,39;43,18;85,53
2023;Jawa Tengah;Batang;69970;8,92;38,88;87,94
2023;Jawa Tengah;Pekalongan;87930;9,67;36;81,63
2023;Jawa Tengah;Pemalang;195570;15,03;39,55;83,42
2023;Jawa Tengah;Tegal;105030;7,3;46,89;83,05
2023;Jawa Tengah;Brebes;286140;15,78;41,7;83,57
2023;Jawa Tengah;Kota Magelang;7450;6,11;58,27;57,32
2023;Jawa Tengah;Surakarta;43890;8,44;45,08;61,07
2023;Jawa Tengah;Salatiga;9410;4,66;34,61;55,6
2023;Jawa Tengah;Kota Semarang;80530;4,23;45,84;67,92
2023;Jawa Tengah;Kota Pekalongan;21360;6,81;41,53;79,34
2023;Jawa Tengah;Kota Tegal;19220;7,68;53,65;50,29
2023;DI Yogyakarta;Kulon Progo;70740;15,64;26,76;69,46
2023;DI Yogyakarta;Bantul;128510;11,96;37,4;63,21
2023;DI Yogyakarta;Gunung Kidul;122240;15,6;36,29;84,31
2023;DI Yogyakarta;Sleman;97500;7,52;39,18;57,46
2023;DI Yogyakarta;Kota Yogyakarta;29480;6,49;40,35;53,33
2023;Jawa Timur;Pacitan;76200;13,65;34,2;79,37
2023;Jawa Timur;Ponorogo;83710;9,53;29,57;85,73
2023;Jawa Timur;Trenggalek;74580;10,63;33,54;85,76
2023;Jawa Timur;Tulungagung;68810;6,53;32,55;80,09
2023;Jawa Timur;Blitar;101940;8,69;44,44;82,8
2023;Jawa Timur;Kediri;171180;10,72;41,1;72,8
2023;Jawa Timur;Malang;251360;9,45;45,48;81,96
2023;Jawa Timur;Lumajang;93820;8,93;42,57;76,96
2023;Jawa Timur;Jember;236460;9,51;46,09;85,5
2023;Jawa Timur;Banyuwangi;119520;7,34;38,71;76,18
2023;Jawa Timur;Bondowoso;105130;13,34;34,62;87,42
2023;Jawa Timur;Situbondo;82620;11,9;37,99;82,53
2023;Jawa Timur;Probolinggo;205020;17,19;42,4;88,37
2023;Jawa Timur;Pasuruan;154090;9,24;44,47;76,41
2023;Jawa Timur;Sidoarjo;119150;5;39;62,76
2023;Jawa Timur;Mojokerto;112860;9,8;39,52;72,74
2023;Jawa Timur;Jombang;117360;9,15;43,37;70,55
2023;Jawa Timur;Nganjuk;115860;10,89;43,01;72,58
2023;Jawa Timur;Madiun;75870;11,04;43,57;82,51
2023;Jawa Timur;Magetan;62490;9,8;31,17;74,23
2023;Jawa Timur;Ngawi;121300;14,4;34,45;75,56
2023;Jawa Timur;Bojonegoro;153250;12,18;44,81;80,77
2023;Jawa Timur;Tuban;177250;14,91;41,59;80,74
2023;Jawa Timur;Lamongan;149940;12,42;41,83;65,37
2023;Jawa Timur;Gresik;149750;10,96;39,89;59,62
2023;Jawa Timur;Bangkalan;196660;19,35;28,14;84,55
2023;Jawa Timur;Sampang;221710;21,76;33,67;87,18
2023;Jawa Timur;Pamekasan;126430;13,85;40;70,38
2023;Jawa Timur;Sumenep;206100;18,7;34,27;80,43
2023;Jawa Timur;Kota Kediri;21030;7,15;43,28;58,54
2023;Jawa Timur;Kota Blitar;10610;7,3;36,86;65,32
2023;Jawa Timur;Kota Malang;37780;4,26;44,01;54,79
2023;Jawa Timur;Kota Probolinggo;15860;6,48;37,26;65,14
2023;Jawa Timur;Kota Pasuruan;13560;6,6;46,93;59,04
2023;Jawa Timur;Kota Mojokerto;7650;5,77;58;64,4
2023;Jawa Timur;Kota Madiun;8460;4,74;46,06;49,19
2023;Jawa Timur;Surabaya;136370;4,65;40,97;62,72
2023;Jawa Timur;Batu;7100;3,31;38,67;60,04
2023;Banten;Pandeglang;114230;9,27;47,63;89,54
2023;Banten;Lebak;114540;8,68;51,61;88,55
2023;Banten;Tangerang;276330;6,93;55,6;72,7
2023;Banten;Serang;73830;4,85;56,92;94
2023;Banten;Kota Tangerang;137700;5,89;53,89;59,39
2023;Banten;Cilegon;18200;3,98;40,16;70,63
2023;Banten;Kota Serang;44990;6,2;44,63;92,5
2023;Banten;Tangerang Selatan;46310;2,57;52,72;60,2
2023;Bali;Jembrana;14120;4,96;32,96;66,3
2023;Bali;Tabanan;21420;4,7;42,61;65,32
2023;Bali;Badung;17010;2,3;35,99;57,63
2023;Bali;Gianyar;23760;4,47;34;58,54
2023;Bali;Klungkung;10220;5,61;36,78;66,67
2023;Bali;Bangli;12240;5,28;39,76;83,28
2023;Bali;Karangasem;27830;6,56;26,65;83,13
2023;Bali;Buleleng;39520;5,85;28,86;74,67
2023;Bali;Denpasar;27690;2,68;47,23;63,28
2023;Nusa Tenggara Barat;Lombok Barat;102710;13,67;32,68;85,72
2023;Nusa Tenggara Barat;Lombok Tengah;129740;12,93;32,13;88,14
2023;Nusa Tenggara Barat;Lombok Timur;197630;15,63;43,82;72,95
2023;Nusa Tenggara Barat;Sumbawa;67400;13,91;35;74,22
2023;Nusa Tenggara Barat;Dompu;34380;12,62;43,48;67,48
2023;Nusa Tenggara Barat;Bima;74740;14,39;35,74;65,82
2023;Nusa Tenggara Barat;Sumbawa Barat;21770;12,95;39,84;69,67
2023;Nusa Tenggara Barat;Lombok Utara;60130;25,8;37,24;83,79
2023;Nusa Tenggara Barat;Mataram;46210;8,62;43,18;68,62
2023;Nusa Tenggara Barat;Kota Bima;16530;8,67;51,48;66,1
2023;Nusa Tenggara Timur;Sumba Barat;37150;27,17;34,01;89,64
2023;Nusa Tenggara Timur;Sumba Timur;75660;28,08;29,17;78,05
2023;Nusa Tenggara Timur;Kupang;90230;21,78;36,42;84,19
2023;Nusa Tenggara Timur;Timor Tengah Selatan;119510;25,18;30,8;85,06
2023;Nusa Tenggara Timur;Timor Tengah Utara;57190;21,85;36,43;78,79
2023;Nusa Tenggara Timur;Belu;33190;14,3;40,45;88,94
2023;Nusa Tenggara Timur;Alor;41910;19,97;34,82;80,09
2023;Nusa Tenggara Timur;Lembata;37940;24,78;37,95;87,45
2023;Nusa Tenggara Timur;Flores Timur;30930;11,77;36,14;89,6
2023;Nusa Tenggara Timur;Sikka;40810;12,56;32,81;89,7
2023;Nusa Tenggara Timur;Ende;63100;22,86;27,22;80,72
2023;Nusa Tenggara Timur;Ngada;20570;12,06;39,11;85,72
2023;Nusa Tenggara Timur;Manggarai;70000;19,69;33,79;86,92
2023;Nusa Tenggara Timur;Rote Ndao;53550;27,05;36,44;84,69
2023;Nusa Tenggara Timur;Manggarai Barat;49950;16,82;22,96;89,62
2023;Nusa Tenggara Timur;Sumba Tengah;24240;31,78;37,41;87,75
2023;Nusa Tenggara Timur;Sumba Barat Daya;101400;27,48;28,54;84,54
2023;Nusa Tenggara Timur;Nagekeo;18570;12,33;42,42;79,67
2023;Nusa Tenggara Timur;Manggarai Timur;74400;25,06;25,55;84,41
2023;Nusa Tenggara Timur;Sabu Raijua;30430;28,37;44,73;83,32
2023;Nusa Tenggara Timur;Malaka;29187;14,42;41,88;83,01
2023;Nusa Tenggara Timur;Kota Kupang;41200;8,61;53,7;66,87
2023;Kalimantan Barat;Sambas;38710;7,08;40,29;88,28
2023;Kalimantan Barat;Bengkayang;16870;6,28;54,98;85,18
2023;Kalimantan Barat;Landak;38920;9,97;35,07;79,07
2023;Kalimantan Barat;Pontianak;14150;5,21;58,69;80,29
2023;Kalimantan Barat;Sanggau;23340;4,79;44,15;87,87
2023;Kalimantan Barat;Ketapang;49950;9,25;53,44;78,84
2023;Kalimantan Barat;Sintang;35490;8,18;41,75;83,83
2023;Kalimantan Barat;Kapuas Hulu;22590;8,16;32,18;82,77
2023;Kalimantan Barat;Sekadau;12090;5,9;30,73;83,6
2023;Kalimantan Barat;Melawi;24180;11,12;29,08;88,1
2023;Kalimantan Barat;Kayong Utara;10770;9,13;46,63;88,64
2023;Kalimantan Barat;Kubu Raya;25330;4,23;50,55;84,3
2023;Kalimantan Barat;Kota Pontianak;29920;4,45;56,27;74,8
2023;Kalimantan Barat;Singkawang;11060;4,7;48,61;78,37
